Frequency,var,value,obs,Class
558,ENJOY,0,1,4
558,USEFUL,0,1,4
558,LOGICAL,0,1,4
558,JOB,0,1,4
558,ADULT,0,1,4
313,ENJOY,1,2,4
313,USEFUL,0,2,4
313,LOGICAL,0,2,4
313,JOB,0,2,4
313,ADULT,0,2,4
53,ENJOY,0,3,4
53,USEFUL,0,3,4
53,LOGICAL,0,3,4
53,JOB,1,3,4
53,ADULT,0,3,4
91,ENJOY,1,4,3
91,USEFUL,0,4,3
91,LOGICAL,0,4,3
91,JOB,0,4,3
91,ADULT,1,4,3
88,ENJOY,1,5,3
88,USEFUL,0,5,3
88,LOGICAL,1,5,3
88,JOB,1,5,3
88,ADULT,1,5,3
76,ENJOY,1,6,3
76,USEFUL,0,6,3
76,LOGICAL,1,6,3
76,JOB,0,6,3
76,ADULT,1,6,3
70,ENJOY,1,7,3
70,USEFUL,0,7,3
70,LOGICAL,0,7,3
70,JOB,1,7,3
70,ADULT,1,7,3
53,ENJOY,0,8,3
53,USEFUL,0,8,3
53,LOGICAL,0,8,3
53,JOB,0,8,3
53,ADULT,1,8,3
41,ENJOY,1,9,3
41,USEFUL,1,9,3
41,LOGICAL,0,9,3
41,JOB,0,9,3
41,ADULT,1,9,3
36,ENJOY,0,10,3
36,USEFUL,0,10,3
36,LOGICAL,1,10,3
36,JOB,0,10,3
36,ADULT,1,10,3
35,ENJOY,0,11,3
35,USEFUL,0,11,3
35,LOGICAL,1,11,3
35,JOB,1,11,3
35,ADULT,1,11,3
34,ENJOY,0,12,3
34,USEFUL,0,12,3
34,LOGICAL,0,12,3
34,JOB,1,12,3
34,ADULT,1,12,3
19,ENJOY,0,13,3
19,USEFUL,1,13,3
19,LOGICAL,1,13,3
19,JOB,0,13,3
19,ADULT,1,13,3
18,ENJOY,0,14,3
18,USEFUL,1,14,3
18,LOGICAL,0,14,3
18,JOB,0,14,3
18,ADULT,1,14,3
14,ENJOY,0,15,3
14,USEFUL,1,15,3
14,LOGICAL,0,15,3
14,JOB,1,15,3
14,ADULT,1,15,3
135,ENJOY,1,16,2
135,USEFUL,0,16,2
135,LOGICAL,1,16,2
135,JOB,0,16,2
135,ADULT,0,16,2
88,ENJOY,0,17,2
88,USEFUL,0,17,2
88,LOGICAL,1,17,2
88,JOB,0,17,2
88,ADULT,0,17,2
74,ENJOY,1,18,2
74,USEFUL,1,18,2
74,LOGICAL,1,18,2
74,JOB,0,18,2
74,ADULT,0,18,2
47,ENJOY,1,19,2
47,USEFUL,1,19,2
47,LOGICAL,0,19,2
47,JOB,0,19,2
47,ADULT,0,19,2
44,ENJOY,1,20,2
44,USEFUL,0,20,2
44,LOGICAL,0,20,2
44,JOB,1,20,2
44,ADULT,0,20,2
42,ENJOY,0,21,2
42,USEFUL,1,21,2
42,LOGICAL,1,21,2
42,JOB,0,21,2
42,ADULT,0,21,2
35,ENJOY,0,22,2
35,USEFUL,1,22,2
35,LOGICAL,0,22,2
35,JOB,0,22,2
35,ADULT,0,22,2
32,ENJOY,1,23,2
32,USEFUL,0,23,2
32,LOGICAL,1,23,2
32,JOB,1,23,2
32,ADULT,0,23,2
24,ENJOY,0,24,2
24,USEFUL,0,24,2
24,LOGICAL,1,24,2
24,JOB,1,24,2
24,ADULT,0,24,2
21,ENJOY,0,25,2
21,USEFUL,1,25,2
21,LOGICAL,1,25,2
21,JOB,1,25,2
21,ADULT,0,25,2
20,ENJOY,1,26,2
20,USEFUL,1,26,2
20,LOGICAL,0,26,2
20,JOB,1,26,2
20,ADULT,0,26,2
13,ENJOY,0,27,2
13,USEFUL,1,27,2
13,LOGICAL,0,27,2
13,JOB,1,27,2
13,ADULT,0,27,2
529,ENJOY,1,28,1
529,USEFUL,1,28,1
529,LOGICAL,1,28,1
529,JOB,1,28,1
529,ADULT,1,28,1
94,ENJOY,1,29,1
94,USEFUL,1,29,1
94,LOGICAL,1,29,1
94,JOB,0,29,1
94,ADULT,1,29,1
78,ENJOY,0,30,1
78,USEFUL,1,30,1
78,LOGICAL,1,30,1
78,JOB,1,30,1
78,ADULT,1,30,1
62,ENJOY,1,31,1
62,USEFUL,1,31,1
62,LOGICAL,0,31,1
62,JOB,1,31,1
62,ADULT,1,31,1
55,ENJOY,1,32,1
55,USEFUL,1,32,1
55,LOGICAL,1,32,1
55,JOB,1,32,1
55,ADULT,0,32,1
829,ENJOY,0.8858304619789124,33,1
829,USEFUL,0.945242166519165,33,1
829,LOGICAL,0.9317322969436646,33,1
829,JOB,0.8879580497741699,33,1
829,ADULT,0.9325075745582581,33,1
782,ENJOY,0.5964779853820801,34,2
782,USEFUL,0.35450279712677,34,2
782,LOGICAL,0.5647175312042236,34,2
782,JOB,0.22308526933193207,34,2
782,ADULT,0,34,2
619,ENJOY,0.6799973845481873,35,3
619,USEFUL,0.28372883796691895,35,3
619,LOGICAL,0.459738165140152,35,3
619,JOB,0.44008198380470276,35,3
619,ADULT,1,35,3
833,ENJOY,0.3068920075893402,36,4
833,USEFUL,0,36,4
833,LOGICAL,0.012036165222525597,36,4
833,JOB,0.06525246798992157,36,4
833,ADULT,0.024915561079978943,36,4
